Wavelength(nm), SC charge (e-), PD charge (e-)
467.0, 0.00022751286038910504, 2.4608657500000014e-08
468.0, 0.00022429335770114938, 2.4701309999999994e-08
469.0, 0.00022125833922330095, 2.4375823749999992e-08
470.0, 0.0002183728119813084, 2.4230026826923102e-08
471.0, 0.00021461236810707454, 2.3830852500000008e-08
472.0, 0.00021419928322957205, 2.414657125000001e-08
473.0, 0.0002132540584688091, 2.364219125e-08
474.0, 0.00020861399315891472, 2.3353341785714237e-08
475.0, 0.0002079676842307693, 2.362283708333338e-08
476.0, 0.00020823107099476437, 2.324923769230774e-08
477.0, 0.0002050533326356589, 2.3186356785714314e-08
478.0, 0.00020320133011764694, 2.2994727499999993e-08
479.0, 0.00019986695728155336, 2.2905777222222196e-08
480.0, 0.00019827424948374756, 2.264368750000006e-08
481.0, 0.00019737660525291823, 2.2399134999999994e-08
482.0, 0.00019137591708737867, 2.184303125e-08
483.0, 0.00018915098549707602, 2.1899887499999993e-08
484.0, 0.0001863880662135922, 2.1407867142857172e-08
485.0, 0.000183549815498155, 2.1164788749999993e-08
486.0, 0.00017779712105263162, 2.0814578749999995e-08
487.0, 0.00017668257031067962, 2.0481544999999988e-08
488.0, 0.0001721439281384248, 2.0179348571428573e-08
489.0, 0.00017037526745583036, 2.011232214285714e-08
490.0, 0.0001672057310280374, 1.9632663750000012e-08
491.0, 0.00016613060524271845, 1.95798775e-08
492.0, 0.00016004067722753346, 1.8851307499999985e-08
494.0, 0.00015540644153061225, 1.86609225e-08
495.0, 0.00015196563848167538, 1.818283374999999e-08
496.0, 0.0001516524176653696, 1.8395002500000003e-08
497.0, 0.00015166008905660377, 1.8229275e-08
498.0, 0.0001487960105068226, 1.8342525357142838e-08
499.0, 0.00014745323941747573, 1.8341676249999997e-08
500.0, 0.0001524527227237354, 1.8843701249999988e-08
501.0, 0.00015212342833013435, 1.8913003749999986e-08
502.0, 0.00015152820966728278, 1.8825096250000003e-08
503.0, 0.0001571264788888889, 1.9788364807692332e-08
504.0, 0.00015500611692307692, 1.986087999999999e-08
505.0, 0.00015782987297297294, 1.975636625e-08
506.0, 0.0001625369845283019, 2.071025499999999e-08
507.0, 0.00016733547194552529, 2.1166715000000005e-08
508.0, 0.00017020471408560312, 2.195028000000003e-08
